level,unit,word,translation
1,1,mother,母亲
1,1,father,父亲
1,1,brother,兄
1,1,sister,姐妹
1,1,grandmother,祖母
1,1,grandfather,祖父
1,1,family,家（庭）
1,1,friend,朋友
1,1,uncle,叔叔
1,1,aunt,姑妈
1,1,cousin,堂（表）兄弟
1,1,parents,父母
1,1,daughter,女儿
1,1,son,儿子
2,1,skin,皮
2,1,mammals,哺乳类
2,1,eggs,卵( egg的名词复数 )
2,1,amphibians,两栖动物( amphibian的名词复数 )
2,1,scales,刻度( scale的名词复数 )
2,1,gills,鳃( gill的名词复数 )
2,1,feathers,羽毛( feather的名词复数 )
2,1,wings,飞行章
2,1,fur,软毛
2,1,head,头
2,1,eye,眼睛
2,1,ear,耳朵
2,1,mouth,嘴
2,1,leg,腿
2,1,body,身体
3,1,festival,会演
3,1,folk dance,民间舞蹈
3,1,wedding,婚礼
3,1,family,家（庭）
3,1,reunion,重聚
3,1,fair,公平的
3,1,race,赛跑
3,1,team,队
3,1,winner,获胜者
3,1,score,得分
3,1,player,运动员
3,1,envelopes,信封( envelope的名词复数 )
3,1,championship,锦标赛
3,1,athletes,运动员
3,1,bands,乐队
1,2,elephant,象
1,2,tortoise,龟
1,2,lonely,孤独的
1,2,sad,悲哀的
1,2,scared,恐惧的
1,2,eat,吃（饭）
1,2,play,玩
1,2,sleep,睡眠
1,2,hamster,<动>仓鼠
1,2,goldfish,金鱼
1,2,bird,小鸟
1,2,rabbit,兔子
1,2,lizard,蜥蜴
1,2,kitten,小猫
1,2,There is ... / There are,有.../有
2,2,worm,蠕虫
2,2,berries,浆果( berry的名词复数 )
2,2,hunt,搜寻
2,2,escape,逃跑
2,2,creep,讨厌鬼
2,2,fight,斗争
2,2,peck,啄
2,2,pinecone,松球
2,2,squawk,发出响而粗的叫声
2,2,strong,强的
2,2,gentle,文静的
2,2,patient,病人
2,2,smart,聪明的
2,2,calm,镇静的
2,2,fierce,凶猛的
2,2,Adverbs of Frequency,频率副词：表示动作发生频率的副词
3,2,kick,踢
3,2,tag,标签
3,2,skip,蹦蹦跳跳地走
3,2,bounce,弹跳
3,2,drop,滴
3,2,plain,平原
3,2,lake,湖
3,2,canyon,峡谷
3,2,cliff,悬崖
3,2,stream,小溪
3,2,boa constrictor,蟒蛇
3,2,toss,掷硬币决定
3,2,landing,登陆
3,2,balance,均衡
1,3,yellow,黄（色）
1,3,red,红色
1,3,blue,蓝色
1,3,green,绿色蔬菜
1,3,purple,紫色
1,3,black,黑的
1,3,brown,棕色
1,3,white,白色
1,3,fireworks,烟火表演
1,3,dark,黑暗
1,3,light,光
1,3,gray,灰色的
1,3,orange,橙
1,3,pink,粉红色
1,3,There is ... / There are,有.../有
2,3,flow,流动
2,3,solid,固体
2,3,liquid,液体
2,3,gas,气体
2,3,heat,热
2,3,stream,小溪
2,3,ice,冰
2,3,freeze,结冰
2,3,melt,奶酪三明治
2,3,ice pop,冰棒：一种冷冻果汁制成的小吃
2,3,balloon,气球
2,3,kettle,水壶
2,3,popcorn,爆米花
2,3,icicle,冰柱
2,3,candle,[轻]蜡烛
3,3,packing,包装
3,3,moving,移动的
3,3,meeting,会议
3,3,neighbors,<美>邻居
3,3,shopping,购物
3,3,ice skating,冰上滑冰：在冰上滑冰的行为或运动。
3,3,fishing,钓鱼
3,3,raking leaves,耙树叶：用耙子将落在地上的树叶聚集在一起的行为
3,3,dancing,舞蹈
3,3,throwing snowballs,投掷雪球
3,3,sledding,雪橇的使用
3,3,monsoon,季风
3,3,surgeon,外科医生
3,3,curry,咖喱食品
3,3,classmate,同班同学
1,4,mix,混合
1,4,mural,壁画
1,4,ocean,<美>海洋
1,4,sand,沙
1,4,seaweed,[植]海草
1,4,seashell,海中软体动物的壳
1,4,jellyfish,水母
1,4,starfish,海星（一种海洋动物）
1,4,jacket,短上衣
1,4,shorts,短裤
1,4,sneakers,旅游鞋
1,4,T-shirt,T 恤衫
1,4,hat,帽子
1,4,pants,<美> 裤子
1,4,Prepositions of Place: In,prepositions of place: in
1,4,On,上
1,4,Under,下面的
1,4,Next To,紧挨着、靠近、在……旁边
2,4,cream,奶油
2,4,sugar,食糖
2,4,salt,盐
2,4,pour,倾倒
2,4,plastic,塑料
2,4,bags,袋( bag的名词复数 )
2,4,mixture,混合
2,4,open,户外
2,4,closed,封闭
2,4,freezer,冰箱
2,4,coffee,咖啡
2,4,tea,茶水
2,4,salad,沙拉
2,4,fruit,成果
2,4,vegetables,蔬菜( vegetable的名词复数 )
2,4,pasta,面团（用以制意大利通心粉
2,4,Simple Past of Verb To Be,be动词一般过去时
3,4,country,国家
3,4,suburb,郊区
3,4,rural area,[农] 农村地区
3,4,urban,城市的
3,4,area,地区
3,4,shopping mall,大型购物中心
3,4,university,综合性大学
3,4,hospital,医院
3,4,factory,工厂
3,4,clinic,诊所
3,4,zoo,动物园
3,4,belongings,所有物
3,4,immigrant,移民
3,4,move,行动
3,4,abroad,在/去国外
3,4,experiences,经历( experience的名词复数 )
1,5,eagle,鹰
1,5,chick,雏鸟
1,5,nest,巢
1,5,opossum,尾有卷握力的小有袋动物
1,5,treehollow,树洞：树洞是指树木上出现的半开放孔穴。主要存在于树龄较大的树木之上
1,5,honeybee,[蜂] 蜜蜂
1,5,hive,忙碌的场所
1,5,crab,蟹
1,5,woods,树林
1,5,field,田地
1,5,pond,池塘
1,5,squirrel,松鼠
1,5,mouse,老鼠
1,5,frog,青蛙
1,5,Where Questions with Verb Be,其中带有动词的问题是
2,5,travel,旅行
2,5,communication,表达
2,5,airplane,飞机
2,5,news,消息
2,5,letter,信
2,5,text message,正文消息
2,5,e-mail,电子邮件
2,5,radio,无线电
2,5,Internet,互联网
2,5,boat,船
2,5,bus,公共汽车
2,5,motorcycle,摩托车
2,5,cable car,<美>（电）缆车
2,5,truck,卡车
2,5,horse,马
3,5,ladybug,瓢虫
3,5,cricket,蟋蟀
3,5,grasshopper,蚱蜢
3,5,beetle,甲虫
3,5,katydid,纺织娘
3,5,butterfly,蝴蝶
3,5,thicket,灌木丛
3,5,kangaroo,[动]袋鼠
3,5,raisin,葡萄干
3,5,insect,昆虫
3,5,escaped,溜走
3,5,shooting star,流星
3,5,leaping,跳跃
1,6,orangutan,猩猩
1,6,rainforest,雨林
1,6,reserve,储备
1,6,teach,教授
1,6,take care of,照顾
1,6,miss,女士
1,6,take a nap,小睡一下
1,6,put out,生产
1,6,day,一天
1,6,night,夜间
1,6,morning,早晨
1,6,midday,中午
1,6,afternoon,下午
1,6,evening,傍晚
1,6,What and Who Questions with Verb Be,动词be是什么和谁的问题
2,6,arrive,到达
2,6,ask,询问
2,6,check,检查
2,6,enter,进入
2,6,poor,the poor 贫困者
2,6,crowded,拥挤的
2,6,clerk,办事员
2,6,visit,看望
2,6,sick,<口>呕吐物
2,6,couch,长沙发
2,6,chair,椅子
2,6,lamp,灯
2,6,clock,钟
2,6,bathtub,浴缸
2,6,sink,洗涤池
2,6,Simple Past Regular Verbs,简单的过去正则动词
3,6,sentence,句子
3,6,rhyming words,押韵词：与另一个词在音韵上相似或相同的词语。通常用于诗歌、歌曲或儿童游戏中。
3,6,verb,动词
3,6,noun,名词
3,6,adjective,形容词
3,6,syllable,音节
3,6,letter,信
3,6,robin,知更鸟
3,6,angelfish,扁鲨
3,6,snowflakes,雪花
3,6,observe,观察
3,6,imagine,想象
3,6,describe,描述
3,6,exact,确切的
1,7,warm,暖和的地方
1,7,hot,热的
1,7,cool,凉的
1,7,cold,寒冷的
1,7,rain,雨
1,7,snow,雪
1,7,long,长的
1,7,short,短裤
1,7,weather,天气（预报）
1,7,cloudy,多云的
1,7,sunny,阳光充足的
1,7,windy,多风的
1,7,snowy,下雪的
1,7,rainy,下雨的
1,7,Simple Present with It,简单的存在与它
2,7,minus sign,减号：在数学中表示减法（如8-6=2）或负数（如-10°）的符号。
2,7,subtraction,减
2,7,take away,供应外带的
2,7,column,专栏
2,7,row,一排/列/行
2,7,test score,测验分数
2,7,single-digit number,个位数：一个只有一位数字的数
2,7,double-,跑步
2,7,digit number,位数：指一个数字所包含的数字个数。
2,7,left,左
2,7,clean,打扫
2,7,dirty,脏的
2,7,tired,累的
2,7,hungry,饥饿的
2,7,thirsty,口渴的
2,7,full,满的
3,7,second,秒
3,7,minute,分（钟）
3,7,hour,小时
3,7,month,月
3,7,year,年
3,7,noon,正午
3,7,spin,高速旋转
3,7,orbit,轨道
3,7,time zone,时区
3,7,multiply,乘
3,7,axis,轴线
3,7,planet,行星
3,7,accurate,准确的
3,7,opposite,对立物
1,8,watch,看
1,8,build a snowman,堆雪人：在雪地中用雪堆出一个人形的雕塑物
1,8,build a,起火
1,8,tree house,树上小屋
1,8,make a swing,单人床：一种适合单人使用的床
1,8,make apple pie,苹果派
1,8,grow,长大
1,8,fall,落下
1,8,bring,带来
1,8,ride a bicycle,骑自行车：使用脚蹬和把手控制自行车的运动
1,8,go to the beach,去海滩：前往海滩休闲娱乐或进行水上活动。
1,8,eat ice cream,吃冰淇淋：享用一种由冰淇淋制成的甜点
1,8,drink hot chocolate,喝热巧克力：将巧克力加热溶解后饮用的一种饮品。
1,8,fly a kite,试探舆论
1,8,plant,植物
1,8,flowers,[植]花（flower 的复数）
1,8,Simple Present with I and You,我和你的简单礼物
2,8,let go,放开
2,8,steal,偷窃
2,8,dig up,发现
2,8,hide,隐蔽处
2,8,jar,罐子
2,8,greedy,贪吃的
2,8,bored,感到厌倦的
2,8,baker,面包师
2,8,cook,厨师
2,8,knee,膝盖
2,8,nose,鼻子
2,8,foot,脚
2,8,arm,臂
2,8,face,脸（面）
2,8,hand,手
2,8,Simple Past Irregular Verbs,简单的过去不规则动词
3,8,airport,机场
3,8,passenger,乘客
3,8,passport,护照
3,8,destination,目的地
3,8,sick,<口>呕吐物
3,8,earache,耳朵痛
3,8,headache,头痛
3,8,fever,发烧
3,8,doctor,医生
3,8,medicine,医学
3,8,washcloth,<美>洗脸巾
3,8,forehead,额
3,8,sneezing,打喷嚏
3,8,tissues,组织( tissue的名词复数 )
1,9,numbers,[数] 数字（number的复数）
1,9,plus sign,加号
1,9,problem,问题
1,9,addition,加法
1,9,answer,回答
1,9,odd numbers,奇数：指不能被2整除的整数。
1,9,even numbers,双数
1,9,pen,笔
1,9,pencil,铅笔
1,9,eraser,橡皮擦
1,9,ruler,尺
1,9,backpack,背包
1,9,notebook,笔记簿
1,9,Simple Present with Verb Have ( I,简单存在
1,9,You,你
1,9,We,我们
1,9,They ),他们
2,9,traffic light,红绿灯
2,9,take turns,替换
2,9,polite,有礼貌的
2,9,clean,打扫
2,9,up,向上
2,9,litter,废弃物
2,9,librarian,图书馆馆长
2,9,crossing guard,过街警卫：一位帮助人们（如学童）安全穿过繁忙街道的工作人员。
2,9,principal,最重要的
2,9,lifeguard,救生员
2,9,kitchen,厨房
2,9,living room,客厅：住宅中用于居住者共同社交活动的房间。
2,9,cafeteria,自助餐厅
2,9,classroom,教室
2,9,swimming pool,游泳池
2,9,crosswalk,人行横道
3,9,windmill,风车房
3,9,sailboat,帆船
3,9,wind turbine,风力涡轮机：一种利用风力发电的涡轮机。
3,9,wind farm,风力田
3,9,coal,煤（块）
3,9,oil,油
3,9,natural gas,天然气
3,9,pollution,污染
3,9,power plant,发电厂
3,9,electricity,电
3,9,source,来源
3,9,fossil fuels,[能源] 化石燃料
3,9,nonrenewable,不可再生的
3,9,renewable,可再生资源
1,10,pot,罐
1,10,stone,石头
1,10,food,食物
1,10,sausages,腊肠
1,10,carrots,胡萝卜( carrot的名词复数 )
1,10,onions,洋葱（头）（ onion的名词复数 ）
1,10,potatoes,[作物]土豆（potato 的复数形式）
1,10,soup,汤
1,10,tomato,番茄
1,10,cucumber,黄瓜
1,10,avocado,鳄梨
1,10,orange,橙
1,10,mango,芒果
1,10,peach,桃子
1,10,Simple Present Questions with Verb Have ( I,带有动词的简单当前问题有(i
1,10,You,你
1,10,We,我们
1,10,They ),他们
2,10,knock,敲
2,10,thoughtful,沉思的
2,10,rude,粗鲁的
2,10,grab,攫取
2,10,pass,合格
2,10,put away,收起来
2,10,invite,请柬
2,10,wash,清洗
2,10,share,分享
2,10,computer,计算机
2,10,laptop,便携式电脑
2,10,camera,照相机
2,10,headphones,[电讯]耳机
2,10,tablet,药片
2,10,cell phone,手机：一种便携式的通常无线的电话
2,10,Can and May,可以而且可以
3,10,subway,地铁
3,10,fire engine,消防车
3,10,carpool,合伙使用汽车
3,10,ambulance,救护车
3,10,escalator,自动扶梯
3,10,train,火车
3,10,taxi,出租车
3,10,elevator,电梯
3,10,helicopter,直升机
3,10,traffic jam,交通堵塞
3,10,mask,面具
3,10,button,纽扣
3,10,pedal,踏板
3,10,blades,刀口( blade的名词复数 )
1,11,farmer,农民
1,11,cow,奶牛
1,11,milk,奶
1,11,market,集市
1,11,sell,销售
1,11,buy,划算的东西
1,11,plain,平原
1,11,fancy,想象
1,11,games,游戏
1,11,comic book,连环漫画册
1,11,board game,用棋盘玩的游戏
1,11,doll,洋娃娃
1,11,stickers,有背胶的标签( sticker的名词复数 )
1,11,pins,插脚
1,11,Simple Present with Regular Verbs and Verb Have ( He,带有规则动词和动词的简单存在（他
1,11,She ),床单
2,11,resources,勇气
2,11,wood,木材
2,11,landfill,废物填埋
2,11,land,陆地
2,11,trash,垃圾
2,11,smoke,烟
2,11,sunlight,阳光
2,11,reduce,减少
2,11,reuse,再用
2,11,camp,营地
2,11,hike,徒步旅行
2,11,ride a horse,骑马
2,11,surf,海浪
2,11,fish,鱼（肉）
2,11,ski,滑雪
3,11,cello,大提琴
3,11,timpani,定音鼓
3,11,trombone,长号
3,11,bassoon,低音管
3,11,orchestra,管弦乐队
3,11,conductor,指挥
3,11,baton,警棍
3,11,astronaut,宇航员
3,11,circus trainer,马戏团教练
3,11,scientist,科学家
3,11,mystery,难以理解（或解释）的事物
3,11,gym,<非正>健身房
3,11,deafening,震耳欲聋的
3,11,beekeeper,养蜂人
1,12,job,工作
1,12,doctor,医生
1,12,police officer,警察
1,12,teacher,老师
1,12,help,帮助
1,12,money,钱
1,12,clothes,衣服
1,12,water,水
1,12,sandwich,三明治
1,12,grapes,葡萄( grape的名词复数 )
1,12,juice,果汁
1,12,cookie,曲奇饼
1,12,chips,[食品]炸土豆条
1,12,soda,苏打
1,12,Simple Present Questions with Regular Verbs and Verb,具有常规动词和动词的简单当前问题
1,12,Have ( He,心脏病发作
1,12,She ),床单
2,12,carton,塑料盒
2,12,diary,日记
2,12,paper,纸
2,12,blow,刮
2,12,shelf,架子
2,12,recycling plant,回收处理厂：一种专门用于回收和处理废弃物的工厂
2,12,machine,机器
2,12,stationery store,文具店
2,12,rescue,营救（行动）
2,12,time,时间
2,12,week,周
2,12,nine o'clock,[体]航向左方
2,12,nine-,上班时间朝九晚五的
2,12,fifteen,十五
2,12,nine-thirty,九点三十
2,12,nine forty-five,九四五
2,12,Prepositions of Place,位置介词：表示物体位置的介词
3,12,zummara,阿拉伯乐器
3,12,flute,长笛
3,12,djembe,非洲手鼓
3,12,tuba,大号
3,12,panpipes,排箫
3,12,violin,小提琴
3,12,didgeridoo,迪吉里杜管（澳洲土著人的乐器）
3,12,snare drum,陷阱鼓：一种小型的双面鼓
3,12,erhu,二胡（中国传统乐器）
3,12,clarinet,单簧管
3,12,traditional,传统的
3,12,vibrate,振动[颤动]
3,12,material,布料
3,12,pitch,<英>体育场地
1,13,street,大街
1,13,neighborhood,附近
1,13,town,城镇
1,13,city,城市
1,13,the country,社稷
1,13,apartment,公寓套房
1,13,building,建筑（物）
1,13,world,世界
1,13,noisy,嘈杂的
1,13,quiet,宁静
1,13,safe,保险柜
1,13,dangerous,危险的
1,13,boring,令人厌烦的
1,13,interesting,有趣的
1,13,Possessive 's,所有格形容词：表示所有关系的代词形容词
2,13,high,最高点
2,13,low,低点
2,13,excited,激动的
2,13,sleepy,困倦的
2,13,wolf,狼
2,13,feelings,感情
2,13,right,右边
2,13,wrong,错误的
2,13,trumpet,小号
2,13,proud,骄傲的
2,13,smile,微笑
2,13,nervous,神经紧张的
2,13,yawn,哈欠
2,13,unhappy,不快乐的
2,13,cry,哭
3,13,lever,操纵杆
3,13,ramp,斜坡
3,13,wedge,楔子
3,13,screw,螺丝钉
3,13,wheel,轮子
3,13,and axle,和车轴
3,13,light bulb,灯泡：一个圆形的玻璃容器
3,13,doorknob,球形门拉手
3,13,slide,滑行
3,13,axe,斧
3,13,seesaw,跷跷板
3,13,hammers,锤( hammer的名词复数 )
3,13,board,木板/黑板
3,13,wheelchairs,轮椅( wheelchair的名词复数 )
3,13,jar,罐子
3,13,lids,盖( lid的名词复数 )
1,14,department store,百货公司
1,14,restaurant,餐馆
1,14,movie theater,电影院
1,14,hotel,旅馆/酒店
1,14,cornfield,<美>玉米田
1,14,orchard,果园
1,14,new,新的
1,14,old,岁
1,14,park,公园
1,14,library,图书馆
1,14,supermarket,超级市场
1,14,drugstore,药房（兼售化妆品等）
1,14,bakery,面包店
1,14,museum,博物馆
1,14,Possessive Adjectives,所有格形容词：一种形容词
2,14,notes,注释
2,14,wait,等候
2,14,worried,担心的
2,14,the flu,流感
2,14,tears,眼泪( tear的名词复数 )
2,14,solo,独唱（曲）
2,14,hummingbird,蜂鸟
2,14,record,记录
2,14,musician,音乐家
2,14,have lunch,吃午餐：在中午时间进食。
2,14,give a concert,举行音乐会
2,14,make,制造
2,14,mistake,错误
2,14,sign an autograph,签名
2,14,talk to fans,与粉丝交流：与自己的粉丝进行交流
2,14,do an interview,进行面试：与某人进行正式的问答交流
2,14,Adverbs of Time,时间副词
3,14,eyeglasses,眼镜（等于 glasses）
3,14,vase,花瓶
3,14,furnace,熔炉
3,14,wire,金属丝
3,14,workshop,车间
3,14,frames,框架( frame的名词复数 )
3,14,glass,玻璃
3,14,glassblower,吹玻璃的人或机器
3,14,glassware,玻璃器具类
3,14,pitcher,投手
3,14,delicate,脆弱的
3,14,bumped,凸起的
3,14,pounded,连续重击( pound的过去式和过去分词 )
3,14,a,一（个）
3,14,footsteps,脚步
1,15,instruments,器具( instrument的名词复数 )
1,15,cymbals,圆盘式张力装置
1,15,tambourine,小手鼓
1,15,xylophone,木琴
1,15,drum,鼓
1,15,triangle,三角形
1,15,shake,摇动
1,15,strike,罢工
1,15,fast,禁食期
1,15,slow,低速的
1,15,loud,大声的
1,15,soft,软的
1,15,awful,令人讨厌的
1,15,lovely,可爱的
1,15,Present Continuous,现在进行式
2,15,push,推
2,15,pull,拉/拽
2,15,movement,移动
2,15,ground,地面
2,15,throw,抛
2,15,speed,速度
2,15,heavy,彪形大汉
2,15,light,光
2,15,easy,容易的
2,15,computer mouse,计算机鼠标：一种手持式指针设备
2,15,stapler,订书机
2,15,suitcase,手提箱
2,15,broom,扫帚
2,15,door,门
2,15,desk drawer,办公桌抽屉：办公桌上的一种储物空间
3,15,soil,泥土
3,15,seeds,种子( seed的名词复数 )
3,15,roots,[数][植]根
3,15,stem,茎
3,15,leaves,树叶
3,15,petals,[植]花瓣
3,15,nectar,花蜜
3,15,pollen,花粉
3,15,oxygen,氧（气）
3,15,humans,人
3,15,sprout,幼芽
3,15,round,轮
3,15,flat,公寓
3,15,important,重要的
1,16,dance,舞蹈（艺术）
1,16,sing,耳鸣
1,16,get an idea,得到一个想法：获得一个新的想法或概念。
1,16,practice,常规
1,16,an instrument,交流仪表系统
